able, skilful, thorough, and genuine
tenacious, stubborn, pertinacious, and obstinate 
tendency, drift, scope, and disposition
tests, trials, temptations, and toils
theatrical, ceremonious, meretricious, and ostentatious 
theory, assumption, speculation, and conjecture
think, reflect, weigh, and ponder
tortuous, twisted, sinuous, and circuitous
tractable, gentle, pliant, and submissive
traditional, uncertain, legendary, and unverified
traffic, trade, commerce, and intercourse
tricky, insincere, wily, and shifty
trite, ordinary, commonplace, and hackneyed
trivial, petty, frivolous, and insignificant
true, upright, real, and authentic
tumultuous, riotous, disorderly, and turbulent
ugly, evil, hateful, and base
uncertain, questionable, erroneous, and mistaken
unctuous, shrill, brisk, and demonstrative 
unhappy, unfortunate, distressed, and disastrous
uninteresting, lifeless, obscure, and commonplace
unity, aggressiveness, efficiency, and force
unkind, severe, oppressive, and callous
unpractical, childish, slipshod, and silly
unreasonable, foolish, excessive, and absurd
unrivaled, unequaled, incomparable, and matchless
upright, high-minded, brave, and liberal
urgent, important, immediate, and imperative
usage, custom, habit, and practise
vain, useless, unproductive, and unavailing
vanities, envies, devices, and jealousies
vast, scattered, various, and incalculable
versatile, eloquent, sagacious, and talented 
vigorous, upright, dignified, and imperative
vile, mean, debased, and sordid
violent, impetuous, intense, and ungovernable
virtuous, upright, honest, and moral
visionary, dreamy, pensive, and sensitive
vulgar, heavy, narrow, and obtuse
want, lack, poverty, and paucity
warm, soft, clear, and serene
waste, devastate, pillage, and destroy
watched, tendered, fostered, and pruned
weak, inefficient, stupid, and futile
wealth, position, influence, and reputation
well-being, happiness, prosperity, and distress
wild, restless, aimless, and erring
wisdom, judgment, understanding, and far-sightedness
wit, purity, energy, and simplicity
wonderful, interesting, active, and delightful
works, sorrows, visions, and experiences
worry, annoyance, awkwardness, and difficulty
