Dataset	Domain	Score	Sent1	Sent2
STS2012-gold	surprise.OnWN	3.250	ponder, consider, observe carefully	consider in detail and subject to an analysis in order to discover essential features or meaning.
STS2012-gold	surprise.OnWN	4.333	persuade or achieve acceptance	persuade somebody to accept something.
STS2012-gold	surprise.OnWN	5.000	physical matter left behind after a removal process	matter that remains after something has been removed.
STS2012-gold	surprise.OnWN	3.500	any tall, vertical shape	anything that approximates the shape of a column or tower.
STS2012-gold	surprise.OnWN	4.750	physically inflate	become inflated.
STS2012-gold	surprise.OnWN	3.000	heavy radioactive metallic element, atomic number 92	a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons.
STS2012-gold	surprise.OnWN	3.000	Complain about something or say mean things to someone.	say mean things.
STS2012-gold	surprise.OnWN	3.750	care about, be bothered by, be concerned by	be offended or bothered by; take offense with, be bothered by.
STS2012-gold	surprise.OnWN	2.750	the tallied points of a game, at a given time	a number that expresses the accomplishment of a team or an individual in a game or contest.
STS2012-gold	surprise.OnWN	2.250	edit so as to block the truth; prevent distribution	subject to political, religious, or moral censorship.
STS2012-gold	surprise.OnWN	2.500	a casual, brief meeting with someone	a casual or unexpected convergence.
STS2012-gold	surprise.OnWN	4.250	an electrical connection between conductor and earth	a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage).
STS2012-gold	surprise.OnWN	4.000	an agent's act of terminating an activity or event	the act of ending something.
STS2012-gold	surprise.OnWN	4.500	notable or famous persons (real or fictional)	a well-known or notable person.
STS2012-gold	surprise.OnWN	3.750	a person who manipulate or controls a device or machine	an agent that operates some apparatus or machine.
STS2012-gold	surprise.OnWN	3.250	find, determine the place of	determine or indicate the place, site, or limits of, as if by an instrument or by a survey.
STS2012-gold	surprise.OnWN	4.250	to engage in plotting or activities of an illegal or deceitful nature	act in unison or agreement and in secret towards a deceitful or illegal purpose.
STS2012-gold	surprise.OnWN	3.750	be equivalent, have the same effect as something	be tantamount or equivalent to.
STS2012-gold	surprise.OnWN	1.000	(cause to) survive	cause to move by pulling.
STS2012-gold	surprise.OnWN	1.000	the money	a voluntary gift (as of money or service or ideas) made to some worthwhile cause.
STS2012-gold	surprise.OnWN	3.750	a sudden emotional vocalization	a loud utterance of emotion (especially when inarticulate).
STS2012-gold	surprise.OnWN	4.000	go back, restore, revive	go back to a previous state.
STS2012-gold	surprise.OnWN	2.750	settlement of people distant from their homeland	a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government.
STS2012-gold	surprise.OnWN	3.750	(The discovery or exhibition of) factual evidence that establishes the truth of something.	a formal series of statements showing that if one thing is true something else necessarily follows from it.
STS2012-gold	surprise.OnWN	1.500	enter a realm, become involved with	cause to move; cause to be in a certain position or condition.
STS2012-gold	surprise.OnWN	3.250	a project or undertaking	earnest and conscientious activity intended to do or accomplish something.
STS2012-gold	surprise.OnWN	4.000	a standardized system of measurements for heaviness	a system of units used to express the weight of something.
STS2012-gold	surprise.OnWN	4.500	a concern or affair	some situation or event that is thought about.
STS2012-gold	surprise.OnWN	2.000	have a strong sexual attraction to	feel or have a desire for; want strongly.
STS2012-gold	surprise.OnWN	1.500	a surrogate expression, utterance for a taboo word	a blank character used to separate successive words in writing or printing.
STS2012-gold	surprise.OnWN	4.000	facility for secure storage of things, often money	a facility where things can be deposited for storage or safekeeping.
STS2012-gold	surprise.OnWN	3.750	emit or cause to emit noise	make a certain noise or sound.
STS2012-gold	surprise.OnWN	2.333	make physical contact with, possibly with the effect of physically manipulating.	cause to be in brief contact with.
STS2012-gold	surprise.OnWN	2.500	find out or be informed of a new information, understand or realize	get to know or become aware of, usually accidentally.
STS2012-gold	surprise.OnWN	4.500	head of a country	the chief executive of a republic.
STS2012-gold	surprise.OnWN	3.000	Touch with the lips.	touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc..
STS2012-gold	surprise.OnWN	2.750	a natural physical force of drawing towards something	the force used in pulling.
STS2012-gold	surprise.OnWN	3.000	a change which is a decrease	a gradual decrease; as of stored charge or current.
STS2012-gold	surprise.OnWN	3.000	an evaluation, an estimation of worth, a grade	a number or letter indicating quality (especially of a student's performance).
STS2012-gold	surprise.OnWN	1.750	having responsibility for managing or supervising	an impetuous rush toward someone or something.
STS2012-gold	surprise.OnWN	4.000	fail or suffer failure	suffer failure, as in some enterprise.
STS2012-gold	surprise.OnWN	4.000	an abundance of something	the property of copious abundance.
STS2012-gold	surprise.OnWN	3.750	An authoritative text or the corresponding citation.	a short note recognizing a source of information or of a quoted passage.
STS2012-gold	surprise.OnWN	0.500	An instance of visual perception.	(often followed by `of') a large number or amount or extent.
STS2012-gold	surprise.OnWN	2.500	fluctuate, move back and forth	sway to and fro.
STS2012-gold	surprise.OnWN	1.500	the alleviation of distress	a change for the better.
STS2012-gold	surprise.OnWN	2.800	A ceremony marking admission into a religious community.	a sacrament admitting a baptized person to full participation in the church.
STS2012-gold	surprise.OnWN	3.400	a social gesture of deferential greeting	a courteous expression (by word or deed) of esteem or regard.
STS2012-gold	surprise.OnWN	0.000	move to a new location, state, or situation	cause (a computer) to execute a single command.
STS2012-gold	surprise.OnWN	1.600	Change one for another	give to, and receive from, one another.
STS2012-gold	surprise.OnWN	4.000	a full stop, as a punctuation mark	a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations.
STS2012-gold	surprise.OnWN	3.250	something that is craved	something craved, especially an intravenous injection of a narcotic drug.
STS2012-gold	surprise.OnWN	3.500	to grow rapidly	increase rapidly and in an uncontrolled manner.
STS2012-gold	surprise.OnWN	3.500	Speak in a high-pitched tone of voice, as either an animal or human might.	make high-pitched sounds.
STS2012-gold	surprise.OnWN	2.500	domesticated animals kept for use or profit	a special variety of domesticated animals within a species.
STS2012-gold	surprise.OnWN	2.250	a discipline, a branch of knowledge	the discipline that records and interprets past events involving human beings.
STS2012-gold	surprise.OnWN	3.333	a person who is aggressively pursued, chased	a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence.
STS2012-gold	surprise.OnWN	2.250	personnel casualty	military personnel lost by death or capture.
STS2012-gold	surprise.OnWN	3.250	escape or avoid a situation or responsibility	use cunning or deceit to escape or avoid.
STS2012-gold	surprise.OnWN	4.000	a relative loss in price, value	a loss entailed by giving up or selling something at less than its value.
STS2012-gold	surprise.OnWN	3.750	a measurable or quantitative decrease	a sudden sharp decrease in some quantity.
STS2012-gold	surprise.OnWN	3.500	Change the key, pitch, tone, or volume of, likely for aesthetic reasons.	change the key of, in music.
STS2012-gold	surprise.OnWN	5.000	a written message of nonacceptance	a message refusing to accept something that is offered.
STS2012-gold	surprise.OnWN	0.500	(cause to) stop speaking or bring about silence	move so that an opening or passage is obstructed; make shut.
STS2012-gold	surprise.OnWN	3.500	injure, scratch the surface	cut the surface of; wear away the surface of.
STS2012-gold	surprise.OnWN	2.000	A plant structure near the top of the plant.	a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom.
STS2012-gold	surprise.OnWN	2.500	a written list of particular things being offered	a list of particulars (as a playbill or bill of fare).
STS2012-gold	surprise.OnWN	3.500	a notational mark used in writing, diacritic	a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation.
STS2012-gold	surprise.OnWN	3.250	the state of believing in, or having confidence in, something or someone	the trait of believing in the honesty and reliability of others.
STS2012-gold	surprise.OnWN	4.500	an attempt or effort to achieve a goal	an attempt to get something.
STS2012-gold	surprise.OnWN	2.750	increase in amount, extent, or intensity	go up or advance.
STS2012-gold	surprise.OnWN	3.250	clean, wash thoroughly	clean with hard rubbing.
STS2012-gold	surprise.OnWN	2.000	compress out of shape or into small pieces	become injured, broken, or distorted by pressure.
STS2012-gold	surprise.OnWN	4.000	point or direct object, weapon, or blow at something or someone	point or cause to go (blows, weapons, or objects such as photographic equipment) towards.
STS2012-gold	surprise.OnWN	0.750	employ or utilize, put into service	give or convey physically.
STS2012-gold	surprise.OnWN	2.500	Spin, wind, braid, or twist together, perhaps as when performing lacework.	do lacework.
STS2012-gold	surprise.OnWN	4.250	a decorative container, often for holding flowers	an open jar of glass or porcelain used as an ornament or to hold flowers.
STS2012-gold	surprise.OnWN	2.000	preserve, keep in safety, use frugally	preserve with sugar.
STS2012-gold	surprise.OnWN	2.250	an open motorboat used for transport	a motorboat with an open deck or a half deck.
STS2012-gold	surprise.OnWN	2.750	a process of development, increase or advancement	a process of becoming larger or longer or more numerous or more important.
STS2012-gold	surprise.OnWN	3.500	Make sure of.	be careful or certain to do something; make certain of something.
STS2012-gold	surprise.OnWN	2.250	supply or furnish with something needed or wanted	give something useful or necessary to.
STS2012-gold	surprise.OnWN	4.000	a sharp bladed instrument for shaving off hair	edge tool used in shaving.
STS2012-gold	surprise.OnWN	2.000	learn, assimilate a body of knowledge	learn by reading books.
STS2012-gold	surprise.OnWN	0.750	support; hold up; nurture or provide for	lengthen or extend in duration or space.
STS2012-gold	surprise.OnWN	4.000	keep away, prevent from happening, or not do something	refrain from doing something.
STS2012-gold	surprise.OnWN	3.500	Something that provides advice.	something that provides direction or advice as to a decision or course of action.
STS2012-gold	surprise.OnWN	2.000	The act of copying the actions of someone else.	a representation of a person that is exaggerated for comic effect.
STS2012-gold	surprise.OnWN	2.500	a physical entity	a separate and self-contained entity.
STS2012-gold	surprise.OnWN	2.500	lessen in force, impact, or effect	make less severe or harsh.
STS2012-gold	surprise.OnWN	4.000	a judgement or opinion about something	a judgment of the qualities of something or somebody.
STS2012-gold	surprise.OnWN	2.750	flog or whip	beat severely with a whip or rod.
STS2012-gold	surprise.OnWN	2.250	act, form, or progress according to a plan or ideal	shape or influence; give direction to.
STS2012-gold	surprise.OnWN	3.500	Germinate, as in a plant.	produce buds, branches, or germinate.
STS2012-gold	surprise.OnWN	1.000	social sphere, scope of activity or interest	a particular environment or walk of life.
STS2012-gold	surprise.OnWN	4.500	a static vertical layout, e.g. text or numbers	a vertical array of numbers or other information.
STS2012-gold	surprise.OnWN	2.500	recognize, be familar or well-versed with	be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.
STS2012-gold	surprise.OnWN	2.500	a portrayal of someone or something, through words or behavior	any likeness of a person, in any medium.
STS2012-gold	surprise.OnWN	2.750	a device to control the rate of some activity, e.g., chemical or mechanical	any of various controls or devices for regulating or controlling fluid flow, pressure, temperature, etc..
STS2012-gold	surprise.OnWN	3.750	Form an aesthetic or conceptual whole.	cause to form a united, orderly, and aesthetically consistent whole.
STS2012-gold	surprise.OnWN	4.000	human legs, informal usage	informal terms for the leg.
STS2012-gold	surprise.OnWN	3.750	goal or objective	the goal intended to be attained (and which is believed to be attainable).
STS2012-gold	surprise.OnWN	1.750	protect from heat, cold, or other detrimental conditions	place or set apart.
STS2012-gold	surprise.OnWN	0.750	an allotment or percentage of something	assets belonging to or due to or contributed by an individual person or group.
STS2012-gold	surprise.OnWN	2.750	something that attains victory	an event that accomplishes its intended purpose.
STS2012-gold	surprise.OnWN	4.500	line up or make parallel; bring into proper adjustment	place in a line or arrange so as to be parallel or straight.
STS2012-gold	surprise.OnWN	3.750	a home furnishing that is a fabric cover	bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something.
STS2012-gold	surprise.OnWN	3.500	meshed frame over windows and doors	a protective covering consisting of netting; can be mounted in a frame.
STS2012-gold	surprise.OnWN	3.750	a measure of the likelihood or probability of an event	a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible.
STS2012-gold	surprise.OnWN	4.000	Anyone who judges or finds fault with something.	someone who frequently finds fault or makes harsh and unfair judgments.
STS2012-gold	surprise.OnWN	2.200	the rescue or release of someone, something	recovery or preservation from loss or danger.
STS2012-gold	surprise.OnWN	3.200	observe, perceive	observe with care or pay close attention to.
STS2012-gold	surprise.OnWN	2.800	limit, keep under control, deter, forbid	to compel or deter by or as if by threats.
STS2012-gold	surprise.OnWN	2.800	stick out, jut out, protrude	extend out or project in space.
STS2012-gold	surprise.OnWN	4.500	to act as the host of	be the host of or for.
STS2012-gold	surprise.OnWN	2.000	put an end to, make invalid a process that's already begun	make invalid for use.
STS2012-gold	surprise.OnWN	1.000	enjoy, be fond of or approve	feel about or towards; consider, evaluate, or regard.
STS2012-gold	surprise.OnWN	2.750	per centum	a proportion in relation to a whole (which is usually the amount per hundred).
STS2012-gold	surprise.OnWN	3.750	an approximate attribute or quality of something	an approximate definition or example.
STS2012-gold	surprise.OnWN	4.250	The act of having and controlling property.	the state or fact of being an owner.
STS2012-gold	surprise.OnWN	2.250	a physical protuberance, large or small	a natural elevation (especially a rocky one that juts out into the sea).
STS2012-gold	surprise.OnWN	3.500	estimate or calculate the numerical value of something	evaluate or estimate the nature, quality, ability, extent, or significance of.
STS2012-gold	surprise.OnWN	0.500	a portion or percentage of a whole	the part played by a person in bringing about a result.
STS2012-gold	surprise.OnWN	3.250	lightest most abundant element, atomic number 1	a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe.
STS2012-gold	surprise.OnWN	0.000	a unit cost of something	a single chance or instance.
STS2012-gold	surprise.OnWN	2.000	move back and forth	move or sway in a rising and falling or wavelike pattern.
STS2012-gold	surprise.OnWN	2.250	a cyclical span of time defined by a calendar system	a period of time containing 365 (or 366) days.
STS2012-gold	surprise.OnWN	2.250	face an event and survive; endure	face and withstand with courage.
STS2012-gold	surprise.OnWN	4.000	(medicine) the capacity of an organism to defend against disease.	(medicine) the condition in which an organism can resist disease.
STS2012-gold	surprise.OnWN	3.000	a statement, an idea expressed in language	a brief statement.
STS2012-gold	surprise.OnWN	3.500	perform a duty	do duty or hold offices; serve in a specific function.
STS2012-gold	surprise.OnWN	3.250	soldier who is a member of a special forces group	a member of a military unit trained as shock troops for hit-and-run raids.
STS2012-gold	surprise.OnWN	4.000	become master of, overcome, dominate	get on top of; deal with successfully.
STS2012-gold	surprise.OnWN	0.500	area of damaged, cut tissue on a living body	a casualty to military personnel resulting from combat.
STS2012-gold	surprise.OnWN	1.750	revolve	change directions as if revolving on a pivot.
STS2012-gold	surprise.OnWN	4.000	twice the quantity or amount of something	a quantity that is twice as great as another.
STS2012-gold	surprise.OnWN	3.250	Give an incentive for action, provoke or stir up, urge on, or cause to act.	provoke or stir up.
STS2012-gold	surprise.OnWN	3.000	Funeral direction	the trade of a funeral director.
STS2012-gold	surprise.OnWN	4.250	to ignite or catch on fire	catch fire.
STS2012-gold	surprise.OnWN	2.750	a large approximate quantity of some attribute or thing	a concentrated example of something.
STS2012-gold	surprise.OnWN	3.000	Medicines	a substance that is used as a medicine or narcotic.
STS2012-gold	surprise.OnWN	3.750	a method for solving a problem	the successful action of solving a problem.
STS2012-gold	surprise.OnWN	2.000	reach an objective, attain a benchmark or goal	develop in a positive way.
STS2012-gold	surprise.OnWN	1.600	take something or someone away from somewhere	go away or leave.
STS2012-gold	surprise.OnWN	1.000	a stiffener in a garment	(nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar.
STS2012-gold	surprise.OnWN	3.800	a constructed underground passageway	a passageway through or under something, usually underground (especially one for trains or cars).
STS2012-gold	surprise.OnWN	2.250	discern, identify, or know because of a previous experience	be fully aware or cognizant of.
STS2012-gold	surprise.OnWN	3.000	move or change one's own position or quality	move very slightly.
STS2012-gold	surprise.OnWN	1.750	incorporate or enclose one thing in another	incorporate a food ingredient into a mixture by repeatedly turning it over without stirring or beating.
STS2012-gold	surprise.OnWN	1.750	guide, draw through	pass over, across, or through.
STS2012-gold	surprise.OnWN	3.400	rescue, redeem, deliver from harm or danger	refrain from harming.
STS2012-gold	surprise.OnWN	4.000	beat (as if) with a whip or rod	strike as if by whipping.
STS2012-gold	surprise.OnWN	4.400	the medical procedure of manually turning the uterus	manual turning of a fetus in the uterus (usually to aid delivery).
STS2012-gold	surprise.OnWN	2.600	create an edge or border	enclose in or as if in a frame.
STS2012-gold	surprise.OnWN	2.250	restart or continue an activity after an interruption or pause	take up or begin anew.
STS2012-gold	surprise.OnWN	2.750	capture, ensnare, discover in the act	discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state.
STS2012-gold	surprise.OnWN	3.250	initiation, founding, introduction of something	the act of starting something for the first time; introducing something new.
STS2012-gold	surprise.OnWN	2.750	a creased or bent form	an angular or rounded shape made by folding.
STS2012-gold	surprise.OnWN	4.500	train, tutor or polish social behavior, taste, judgement	teach or refine to be discriminative in taste or judgment.
STS2012-gold	surprise.OnWN	3.250	a mental activity of construing or interpreting	an interpretation of a text or action.
STS2012-gold	surprise.OnWN	4.250	emphasize; draw attention to; underline	draw a line or lines underneath to call attention to.
STS2012-gold	surprise.OnWN	2.000	possibility for the future	a prediction of the course of a disease.
STS2012-gold	surprise.OnWN	3.250	require or need something that is missing	have need of.
STS2012-gold	surprise.OnWN	2.750	an indication or manifestation of something, often physical	an indication of damage.
STS2012-gold	surprise.OnWN	3.750	a sudden, brief burst of light	a momentary brightness.
STS2012-gold	surprise.OnWN	2.250	come or bring back to life, health, existence or use	cause to regain consciousness.
STS2012-gold	surprise.OnWN	3.250	A mental state of sadness.	a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity.
STS2012-gold	surprise.OnWN	3.750	position or location change	the act of changing the location of something.
STS2012-gold	surprise.OnWN	3.750	(cause to) move through a space, circuit or system, usu. returning to the starting point	move in circles.
STS2012-gold	surprise.OnWN	3.750	bring in to consonance	bring (several things) into consonance or relate harmoniously.
STS2012-gold	surprise.OnWN	1.500	submit, send to	cause to move; cause to be in a certain position or condition.
STS2012-gold	surprise.OnWN	3.750	state of being unified	the state of being joined or united or linked.
STS2012-gold	surprise.OnWN	3.000	(Cause to) become different or aquire a different character, possibly during development.	become distinct and acquire a different character.
STS2012-gold	surprise.OnWN	3.500	an objective or goal	the goal intended to be attained (and which is believed to be attainable).
STS2012-gold	surprise.OnWN	3.500	seize and take captive; take or gain possession of something	take possession of by force, as after an invasion.
STS2012-gold	surprise.OnWN	3.250	give, dedicate, pledge	give entirely to a specific person, activity, or cause.
STS2012-gold	surprise.OnWN	4.000	decide a specific time for an event	make a schedule; plan the time and place for events.
STS2012-gold	surprise.OnWN	4.750	value a thing or course of action more highly than another	like better; value more highly.
STS2012-gold	surprise.OnWN	3.750	give something for a cause	give to a charity or good cause.
STS2012-gold	surprise.OnWN	3.750	furnish with a guideline	furnish with rubrics or regulate by rubrics.
STS2012-gold	surprise.OnWN	2.500	a social entreaty, as courtship or pleading	a petition or appeal made to a person of superior status or rank.
STS2012-gold	surprise.OnWN	2.250	fail in strength or health and cease to funtion	break down, literally or metaphorically.
STS2012-gold	surprise.OnWN	3.667	reply verbally or in written form to a question, comment, letter, or speech	react verbally.
STS2012-gold	surprise.OnWN	3.750	a slight cut in a physical surface	a slight surface cut (especially a notch that is made to keep a tally).
STS2012-gold	surprise.OnWN	3.250	cause something to be the case	cause to move; cause to be in a certain position or condition.
STS2012-gold	surprise.OnWN	4.000	a state of confinement in a small space	the act of forcing yourself (or being forced) into or through a restricted space.
STS2012-gold	surprise.OnWN	4.000	state or explain the meaning	give a definition for the meaning of a word.
STS2012-gold	surprise.OnWN	1.250	cause animals to move	pursue for food or sport (as of wild animals).
STS2012-gold	surprise.OnWN	4.500	be against, resist	act against or in opposition to.
STS2012-gold	surprise.OnWN	4.250	a quantity of money added to a bank account	money deposited in a bank or some similar institution.
STS2012-gold	surprise.OnWN	3.250	cause to come into existence; create	bring into being.
STS2012-gold	surprise.OnWN	2.500	Performance, routine	a short theatrical performance that is part of a longer program.
STS2012-gold	surprise.OnWN	4.250	people assembled together in a rhythmic movement	a party of people assembled for dancing.
STS2012-gold	surprise.OnWN	3.000	a computer server	(computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network.
STS2012-gold	surprise.OnWN	2.250	forbid, prohibit	forbid the public distribution of ( a movie or a newspaper).
STS2012-gold	surprise.OnWN	3.000	computer text files	(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters.
STS2012-gold	surprise.OnWN	2.250	a speech act of acknowledging gratitude for something	an acknowledgment of appreciation.
STS2012-gold	surprise.OnWN	3.333	a state of pretending to be someone, something else	an outward semblance that misrepresents the true nature of something.
STS2012-gold	surprise.OnWN	2.750	Become widespread as an idea or feeling.	cause to become widely known.
STS2012-gold	surprise.OnWN	0.000	connect with; reach a target or goal	perceive with the senses quickly, suddenly, or momentarily.
STS2012-gold	surprise.OnWN	4.750	income collected as tax by a government	government income due to taxation.
STS2012-gold	surprise.OnWN	2.000	be the deciding factor in a state of affairs or an outcome	shape or influence; give direction to.
STS2012-gold	surprise.OnWN	3.000	end	put an end to.
STS2012-gold	surprise.OnWN	4.500	a region allocated to hold something	the particular portion of space occupied by something.
STS2012-gold	surprise.OnWN	0.750	acknowledge a contribution or cause	have trust in; trust in the truth or veracity of.
STS2012-gold	surprise.OnWN	2.000	arrangement	logical or comprehensible arrangement of separate elements.
STS2012-gold	surprise.OnWN	3.750	system of arrangement	an arrangement scheme.
STS2012-gold	surprise.OnWN	3.750	close within bounds; deprive of freedom	to close within bounds, limit or hold back from movement.
STS2012-gold	surprise.OnWN	4.750	to collect, acquire or gather	get or gather together.
STS2012-gold	surprise.OnWN	0.500	deliver a formal talk or reprimand at length	censure severely or angrily.
STS2012-gold	surprise.OnWN	5.000	a pair of mated people, e.g., married	a pair of people who live together.
STS2012-gold	surprise.OnWN	4.750	rot; become unfit for consumption	become unfit for consumption or use.
STS2012-gold	surprise.OnWN	3.250	lock with one another	become engaged or intermeshed with one another.
STS2012-gold	surprise.OnWN	4.500	take vows, join or allow to join a religious order	take vows, as in religious order.
STS2012-gold	surprise.OnWN	4.750	activity of selling	the general activity of selling.
STS2012-gold	surprise.OnWN	4.500	give out, allow to have	allow to have.
STS2012-gold	surprise.OnWN	4.750	secondary public school, grades 9-12	a public secondary school usually including grades 9 through 12.
STS2012-gold	surprise.OnWN	3.000	Benjamin Rush, physician and American Revolutionary leader.	physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813).
STS2012-gold	surprise.OnWN	2.500	luggage compartment of a car	British term for the luggage compartment in a car.
STS2012-gold	surprise.OnWN	4.500	have a monopoly of; control fully	have or exploit a monopoly of.
STS2012-gold	surprise.OnWN	3.750	reduce to a simpler molecular compound	reduce (petroleum) to a simpler compound by cracking.
STS2012-gold	surprise.OnWN	2.500	cause to be interested	attract; cause to be enamored.
STS2012-gold	surprise.OnWN	3.500	To remain emotionally or intellectually attached without necessary physical contact.	to remain emotionally or intellectually attached.
STS2012-gold	surprise.OnWN	4.750	The act of transporting goods commerically at rates cheaper than express rates.	transporting goods commercially at rates cheaper than express rates.
STS2012-gold	surprise.OnWN	4.500	(An occurance of) the preservation or management of natural resources.	the preservation and careful management of the environment and of natural resources.
STS2012-gold	surprise.OnWN	4.000	remove the pod, husk or shell	fall out of the pod or husk.
STS2012-gold	surprise.OnWN	4.000	abstain from eating or from certain foods	abstain from eating.
STS2012-gold	surprise.OnWN	4.000	feel hot or painful, as if burning	feel hot or painful.
STS2012-gold	surprise.OnWN	4.750	(cause to) return after being refused	come back after being refused.
STS2012-gold	surprise.OnWN	4.250	a loss of function	loss of ability to function normally.
STS2012-gold	surprise.OnWN	3.500	administrator, one who controls resources	someone who controls resources and expenditures.
STS2012-gold	surprise.OnWN	3.750	a stovetop, cooking appliance	a kitchen appliance used for cooking food.
STS2012-gold	surprise.OnWN	4.500	rinse one's mouth with mouthwash, gargle	rinse one's mouth and throat with mouthwash.
STS2012-gold	surprise.OnWN	4.000	a quantity that is an approximate calculation	an approximate calculation of quantity or degree or worth.
